"Time (s)","Acceleration (m/s²)"
6.784096764E1,-1.965045929E-2
6.787938909E1,-8.756256104E-2
6.791781055E1,1.103382111E-1
6.795623201E1,6.949424744E-3
6.799465336E1,8.721351624E-3
6.803307482E1,-1.083469391E-2
6.807149628E1,2.115726471E-2
6.810991764E1,-4.166316986E-2
6.814833909E1,5.045413971E-2
6.818676045E1,1.152019501E-1
6.822518180E1,-6.332397461E-2
6.826360326E1,-2.781391144E-2
6.830202462E1,-2.035999298E-2
6.834044597E1,-1.007270813E-2
6.837886732E1,1.022624969E-1
6.841728868E1,3.738498688E-2
6.845571003E1,-5.554866791E-2
6.849413139E1,-4.514598846E-2
6.853255274E1,-3.431892395E-2
6.857097399E1,1.153602600E-1
6.860939534E1,8.198547363E-2
6.864781670E1,-1.950645447E-2
6.868623795E1,-1.052999496E-1
6.872465920E1,-2.249717712E-3
6.876308055E1,-3.223705292E-2
6.880150180E1,1.262388229E-1
6.883992305E1,4.523468018E-2
6.887834430E1,-7.837581635E-2
6.891676555E1,-7.648658752E-2
6.895518680E1,-1.108837128E-2
6.899360805E1,4.994678497E-2
6.903202930E1,1.158514023E-1
6.907045055E1,-5.825233459E-2
6.910887170E1,-1.527786255E-2
6.914729295E1,-9.018611908E-2
6.918571409E1,2.637004852E-2
6.922413534E1,7.820892334E-2
6.926255649E1,4.173374176E-2
6.930097774E1,-5.708217621E-2
6.933939889E1,-2.313137054E-2
6.937782003E1,-6.625461578E-2
6.941624118E1,-5.624389648E-2
6.945466243E1,-7.828712463E-3
6.949308357E1,-2.405929565E-2
6.953150472E1,-6.825447083E-3
6.956992586E1,-5.326652527E-2
6.960834712E1,-4.523658752E-2
6.964676826E1,-1.103305817E-1
6.968518951E1,-4.267787933E-2
6.972361066E1,-8.337879181E-2
6.976203191E1,-5.100917816E-2
6.980045316E1,-1.145992279E-1
6.983887441E1,-6.898403168E-2
6.987729566E1,-1.291370392E-1
6.991571691E1,-3.676986694E-2
6.995413816E1,-9.795856476E-2
6.999255951E1,-6.350040436E-2
7.003098086E1,-8.493709564E-2
7.006940222E1,-6.251716614E-2
7.010782357E1,-1.253442764E-1
7.014624503E1,2.037239075E-2
7.018466639E1,-7.789611816E-3
7.022308784E1,-9.772014618E-2
7.026150930E1,-9.677124023E-2
7.029993076E1,3.363895416E-2
7.033835222E1,4.815387726E-2
7.037677368E1,-2.986526489E-2
7.041519524E1,-5.913066864E-2
7.045361670E1,4.002571106E-3
7.049203826E1,6.626129150E-2
7.053045982E1,-9.623527527E-3
7.056888139E1,-3.800678253E-2
7.060730295E1,-1.089859009E-2
7.064572451E1,5.683040619E-2
7.068414607E1,1.172924042E-2
7.072256764E1,-3.259754181E-2
7.076098920E1,1.759433746E-2
7.079941086E1,9.123802185E-2
7.083783243E1,1.257991791E-2
7.087625409E1,-4.743099213E-2
7.091467566E1,1.603698730E-2
7.095309732E1,7.527065277E-2
7.099151889E1,5.796909332E-2
7.102994055E1,-1.959037781E-2
7.106836222E1,-2.608203888E-2
7.110678389E1,3.707981110E-2
7.114520545E1,7.145500183E-2
7.118362712E1,3.876781464E-2
7.122204878E1,-9.606361389E-3
7.126047045E1,5.132961273E-2
7.129889212E1,2.334594727E-2
7.133731378E1,2.401924133E-2
7.137573545E1,1.570987701E-2
7.141415712E1,9.505271912E-2
7.145257878E1,2.952671051E-2
7.149100034E1,-1.465797424E-3
7.152942201E1,-3.039455414E-2
7.156784368E1,4.309177399E-2
7.160626534E1,7.149314880E-2
7.164468701E1,4.216480255E-2
7.168310868E1,-1.089668274E-2
7.172153034E1,1.438999176E-2
7.175995191E1,3.799819946E-2
7.179837357E1,-2.574920654E-4
7.183679524E1,2.544021606E-2
7.187521691E1,2.931976318E-2
7.191363847E1,8.654975891E-2
7.195206014E1,-1.843452454E-3
7.199048180E1,7.214546204E-3
7.202890336E1,4.500389099E-3
7.206732503E1,9.130001068E-2
7.210574659E1,2.379894257E-2
7.214416826E1,5.348300934E-2
7.218258982E1,1.418685913E-2
7.222101139E1,-1.277923584E-3
7.225943305E1,3.454494476E-2
7.229785462E1,4.452896118E-2
7.233627618E1,5.160808563E-2
7.237469774E1,5.737304688E-3
7.241311930E1,-1.473140717E-2
7.245154086E1,5.232810974E-3
7.248996243E1,4.843235016E-2
7.252838389E1,6.118774414E-3
7.256680545E1,1.465225220E-2
7.260522701E1,2.513885498E-3
7.264364847E1,4.581451416E-3
7.268207003E1,4.113388062E-2
7.272049149E1,8.247375488E-3
7.275891305E1,-6.814002991E-3
7.279733451E1,5.933761597E-3
7.283575597E1,6.808090210E-2
7.287417743E1,1.329708099E-2
7.291259889E1,-3.448677063E-2
7.295102034E1,-2.213478088E-2
7.298944180E1,7.648944855E-2
7.302786326E1,5.910873413E-2
7.306628472E1,-1.629161835E-2
7.310470607E1,-1.854419708E-2
7.314312753E1,-4.074668884E-2
7.318154889E1,8.369064331E-2
7.321997034E1,2.451705933E-2
7.325839170E1,3.905296326E-3
7.329681305E1,-1.046543121E-1
7.333523451E1,1.176738739E-2
7.337365586E1,-3.526687622E-3
7.341207722E1,6.482791901E-2
7.345049857E1,-2.547550201E-2
7.348891993E1,-9.246826172E-3
7.352734128E1,-7.672405243E-2
7.356576264E1,-3.698921204E-2
7.360418399E1,1.519632339E-1
7.364260534E1,-2.203941345E-3
7.368102670E1,-5.787563324E-2
